,id_x,location,lat_x,long_x,description,category,created_at,image_filename,user,data_id,id_y,device_name,lat_y,long_y,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time,date,month,AQI
51,776,Sector 7,28.4705348,77.0183164,Mostly all the varients went up during the traffic . ,Vehicle Pollution,2024-10-03 13:02:01.161227,1000175298.jpg,person 11,5391823,5391823,TARA009,28.470592,77.018326,87.9,248.8,42.4,1.1,,,39.3,33.0,2024-10-03 18:30:00,2024-10-03,2024-10,Moderate
52,786,Sector 3A,28.4831594,77.0134442,Sector 3A ,Vehicle Pollution,2024-10-04 12:04:24.759826,IMG20241004173149.jpg,person 25,5331315,5331315,TARA097,28.484089,77.014824,43.1,106.7,5.5,1.26,,,39.6,38.0,2024-10-02 17:12:00,2024-10-02,2024-10,Good
53,796,Block C-1 & C-2,28.4824772,77.0138041,Block C-1 C-2 ,Vehicle Pollution,2024-10-08 13:27:14.740315,IMG20241008185640.jpg,person 25,5331315,5331315,TARA097,28.484089,77.014824,43.1,106.7,5.5,1.26,,,39.6,38.0,2024-10-02 17:12:00,2024-10-02,2024-10,Good
54,801,Block C-1 & C-2,28.4841463,77.014912,Block C-1 C-2 ,Vehicle Pollution,2024-10-09 16:22:36.051810,IMG20241009150851.jpg,person 25,5331315,5331315,TARA097,28.484089,77.014824,43.1,106.7,5.5,1.26,,,39.6,38.0,2024-10-02 17:12:00,2024-10-02,2024-10,Good
55,810,Block C-1 & C-2,28.4836571,77.0148839,Block C-1 C-2 ,Vehicle Pollution,2024-10-11 08:59:46.258448,IMG20241011095152.jpg,person 25,5331315,5331315,TARA097,28.484089,77.014824,43.1,106.7,5.5,1.26,,,39.6,38.0,2024-10-02 17:12:00,2024-10-02,2024-10,Good
56,818,Block C-1 & C-2,28.4840809,77.0148885,Block C-1 C-2 ,Waste Burning,2024-10-13 10:11:29.702943,IMG20241013151243.jpg,person 25,5331315,5331315,TARA097,28.484089,77.014824,43.1,106.7,5.5,1.26,,,39.6,38.0,2024-10-02 17:12:00,2024-10-02,2024-10,Good
57,822,Block C-1 & C-2,28.4836223,77.0145239,Block C-1 C-2 ,Brick Kilns,2024-10-14 08:40:24.257472,IMG20241014140841.jpg,person 25,5331315,5331315,TARA097,28.484089,77.014824,43.1,106.7,5.5,1.26,,,39.6,38.0,2024-10-02 17:12:00,2024-10-02,2024-10,Good
58,863,Block C-1 & C-2,28.4835704,77.0144229,Block C-1 C-2 ,Vehicle Pollution,2024-10-17 13:32:19.641753,IMG20241017185506.jpg,person 25,5331315,5331315,TARA097,28.484089,77.014824,43.1,106.7,5.5,1.26,,,39.6,38.0,2024-10-02 17:12:00,2024-10-02,2024-10,Good
59,788,Sector 7,28.4706276,77.0182032,When I was passing through this area I noticed that pm10 went up ,Brick Kilns,2024-10-04 16:39:59.524056,1000175911.jpg,person 11,5448040,5448040,TARA009,28.470615,77.018257,50.8,116.9,43.2,1.13,,,38.6,40.0,2024-10-04 18:18:00,2024-10-04,2024-10,Moderate
60,792,Gurugram,28.3510137,77.060224,Waste burn ,Waste Burning,2024-10-06 13:43:25.054797,,person 1,5566842,5566842,TARA085,28.351196,77.060425,86.6,143.4,18.5,0.96,,,35.7,45.0,2024-10-06 19:10:00,2024-10-06,2024-10,Moderate
